Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,2870.000000,2930.000000,2860.000000,2900.000000,2900.000000,44258200
2023-03-14,2910.000000,2910.000000,2770.000000,2770.000000,2770.000000,60495700
2023-03-15,2790.000000,2820.000000,2730.000000,2750.000000,2750.000000,50051200
2023-03-16,2720.000000,2720.000000,2600.000000,2640.000000,2640.000000,100194800
2023-03-17,2650.000000,2780.000000,2650.000000,2780.000000,2780.000000,165045800
2023-03-20,2760.000000,2780.000000,2710.000000,2720.000000,2720.000000,27177000
2023-03-21,2720.000000,2730.000000,2690.000000,2730.000000,2730.000000,28977600
2023-03-24,2710.000000,2740.000000,2680.000000,2680.000000,2680.000000,51810300
2023-03-27,2710.000000,2740.000000,2670.000000,2680.000000,2680.000000,54183300
2023-03-28,2700.000000,2800.000000,2700.000000,2770.000000,2770.000000,95908100
2023-03-29,2810.000000,2910.000000,2800.000000,2880.000000,2880.000000,106383200
2023-03-30,2900.000000,2920.000000,2850.000000,2870.000000,2870.000000,71977200
2023-03-31,2880.000000,2930.000000,2850.000000,2900.000000,2900.000000,61694500
2023-04-03,2940.000000,3020.000000,2940.000000,2940.000000,2940.000000,98297900
2023-04-04,3010.000000,3080.000000,3010.000000,3050.000000,3050.000000,93744600
2023-04-05,3040.000000,3070.000000,3000.000000,3060.000000,3060.000000,54323500
2023-04-06,3060.000000,3120.000000,3020.000000,3020.000000,3020.000000,71186200
2023-04-10,3020.000000,3060.000000,2970.000000,2990.000000,2990.000000,29429000
2023-04-11,2960.000000,3060.000000,2960.000000,3050.000000,3050.000000,46716100
2023-04-12,3050.000000,3050.000000,2930.000000,2960.000000,2960.000000,84393600
2023-04-13,2960.000000,3010.000000,2950.000000,2960.000000,2960.000000,38736700
2023-04-14,2960.000000,2990.000000,2920.000000,2920.000000,2920.000000,45832600
2023-04-17,2920.000000,2950.000000,2860.000000,2860.000000,2860.000000,47706200
2023-04-18,2870.000000,3020.000000,2870.000000,3000.000000,3000.000000,85627400
2023-04-26,3040.000000,3130.000000,3020.000000,3100.000000,3100.000000,104615000
2023-04-27,3100.000000,3110.000000,3050.000000,3080.000000,3080.000000,41028100
2023-04-28,3100.000000,3160.000000,3060.000000,3130.000000,3130.000000,72560800
2023-05-02,3100.000000,3100.000000,2960.000000,2980.000000,2980.000000,81649400
2023-05-03,2980.000000,3050.000000,2930.000000,2940.000000,2940.000000,71441900
2023-05-04,2930.000000,3000.000000,2900.000000,2920.000000,2920.000000,73997700
2023-05-05,2860.000000,2880.000000,2750.000000,2790.000000,2790.000000,158924500
2023-05-08,2810.000000,2930.000000,2810.000000,2870.000000,2870.000000,65765900
2023-05-09,2910.000000,2910.000000,2860.000000,2890.000000,2890.000000,45066800
2023-05-10,2900.000000,2970.000000,2900.000000,2940.000000,2940.000000,84244500
2023-05-11,2920.000000,2950.000000,2760.000000,2800.000000,2800.000000,209469700
2023-05-12,2800.000000,2800.000000,2750.000000,2760.000000,2760.000000,56037500
